country,year,sex,age,suicides_no, population ,country-year, gdp_for_year ($) ,gdp_per_capita ($),generation
Albania,1997,female,15-24 years,21," 294,000 ",Albania1997,"2,35,99,03,108",793,Generation X
Albania,1997,male,55-74 years,12," 180,300 ",Albania1997,"2,35,99,03,108",793,Silent
Albania,1997,female,25-34 years,16," 273,900 ",Albania1997,"2,35,99,03,108",793,Generation X
Albania,1997,female,75+ years,2," 42,100 ",Albania1997,"2,35,99,03,108",793,G.I. Generation
Albania,1997,female,35-54 years,7," 370,100 ",Albania1997,"2,35,99,03,108",793,Boomers
Albania,1997,female,5-14 years,6," 361,800 ",Albania1997,"2,35,99,03,108",793,Millenials
Albania,1997,male,5-14 years,4," 381,500 ",Albania1997,"2,35,99,03,108",793,Millenials
Albania,1997,female,55-74 years,0," 187,000 ",Albania1997,"2,35,99,03,108",793,Silent
Albania,1998,male,75+ years,3," 25,800 ",Albania1998,"2,70,71,23,772",899,G.I. Generation
Albania,1998,male,15-24 years,27," 248,800 ",Albania1998,"2,70,71,23,772",899,Generation X
Albania,1998,female,15-24 years,32," 295,600 ",Albania1998,"2,70,71,23,772",899,Generation X
Albania,1998,male,25-34 years,26," 240,400 ",Albania1998,"2,70,71,23,772",899,Generation X
Albania,1998,male,35-54 years,29," 388,200 ",Albania1998,"2,70,71,23,772",899,Boomers
Albania,1998,male,55-74 years,9," 183,800 ",Albania1998,"2,70,71,23,772",899,Silent
Albania,1998,female,25-34 years,10," 275,300 ",Albania1998,"2,70,71,23,772",899,Generation X
Albania,1998,female,55-74 years,6," 188,200 ",Albania1998,"2,70,71,23,772",899,Silent
Albania,1998,female,35-54 years,9," 372,100 ",Albania1998,"2,70,71,23,772",899,Boomers
Albania,1998,male,5-14 years,2," 388,400 ",Albania1998,"2,70,71,23,772",899,Millenials
Albania,1998,female,5-14 years,1," 363,800 ",Albania1998,"2,70,71,23,772",899,Millenials
Albania,1998,female,75+ years,0," 42,300 ",Albania1998,"2,70,71,23,772",899,G.I. Generation
Albania,1999,male,75+ years,3," 25,900 ",Albania1999,"3,41,47,60,915",1127,G.I. Generation
Albania,1999,male,15-24 years,24," 250,600 ",Albania1999,"3,41,47,60,915",1127,Generation X
Albania,1999,female,75+ years,4," 42,400 ",Albania1999,"3,41,47,60,915",1127,G.I. Generation
Albania,1999,male,35-54 years,31," 391,100 ",Albania1999,"3,41,47,60,915",1127,Boomers
Albania,1999,male,25-34 years,19," 242,300 ",Albania1999,"3,41,47,60,915",1127,Generation X
Albania,1999,male,55-74 years,14," 185,200 ",Albania1999,"3,41,47,60,915",1127,Silent
Albania,1999,female,15-24 years,19," 296,800 ",Albania1999,"3,41,47,60,915",1127,Generation X
Albania,1999,female,25-34 years,13," 276,500 ",Albania1999,"3,41,47,60,915",1127,Generation X
Albania,1999,female,55-74 years,6," 188,800 ",Albania1999,"3,41,47,60,915",1127,Silent
Albania,1999,female,35-54 years,5," 373,600 ",Albania1999,"3,41,47,60,915",1127,Boomers
Albania,1999,female,5-14 years,1," 365,200 ",Albania1999,"3,41,47,60,915",1127,Millenials
Albania,1999,male,5-14 years,0," 391,300 ",Albania1999,"3,41,47,60,915",1127,Millenials
Albania,2000,male,25-34 years,17," 232,000 ",Albania2000,"3,63,20,43,908",1299,Generation X
Albania,2000,male,55-74 years,10," 177,400 ",Albania2000,"3,63,20,43,908",1299,Silent
Albania,2000,female,75+ years,2," 37,800 ",Albania2000,"3,63,20,43,908",1299,G.I. Generation
Albania,2000,male,75+ years,1," 24,900 ",Albania2000,"3,63,20,43,908",1299,G.I. Generation
Albania,2000,female,15-24 years,6," 263,900 ",Albania2000,"3,63,20,43,908",1299,Generation X
Albania,2000,male,15-24 years,5," 240,000 ",Albania2000,"3,63,20,43,908",1299,Generation X
Albania,2000,female,35-54 years,5," 332,200 ",Albania2000,"3,63,20,43,908",1299,Boomers
Albania,2000,female,25-34 years,3," 245,800 ",Albania2000,"3,63,20,43,908",1299,Generation X
Albania,2000,male,35-54 years,4," 374,700 ",Albania2000,"3,63,20,43,908",1299,Boomers
Albania,2000,male,5-14 years,1," 374,900 ",Albania2000,"3,63,20,43,908",1299,Millenials
Albania,2000,female,5-14 years,0," 324,700 ",Albania2000,"3,63,20,43,908",1299,Millenials
Albania,2000,female,55-74 years,0," 168,000 ",Albania2000,"3,63,20,43,908",1299,Silent
Albania,2001,male,25-34 years,22," 206,484 ",Albania2001,"4,06,07,58,804",1451,Generation X
Albania,2001,male,35-54 years,34," 378,826 ",Albania2001,"4,06,07,58,804",1451,Boomers
Albania,2001,male,55-74 years,11," 196,670 ",Albania2001,"4,06,07,58,804",1451,Silent
Albania,2001,female,75+ years,2," 47,254 ",Albania2001,"4,06,07,58,804",1451,Silent
Albania,2001,male,15-24 years,10," 256,039 ",Albania2001,"4,06,07,58,804",1451,Millenials
Albania,2001,female,15-24 years,9," 271,359 ",Albania2001,"4,06,07,58,804",1451,Millenials
Albania,2001,female,35-54 years,12," 370,191 ",Albania2001,"4,06,07,58,804",1451,Boomers
Albania,2001,male,75+ years,1," 31,044 ",Albania2001,"4,06,07,58,804",1451,Silent
Albania,2001,female,55-74 years,6," 189,799 ",Albania2001,"4,06,07,58,804",1451,Silent
Albania,2001,male,5-14 years,6," 321,556 ",Albania2001,"4,06,07,58,804",1451,Millenials
Albania,2001,female,25-34 years,4," 222,771 ",Albania2001,"4,06,07,58,804",1451,Generation X
Albania,2001,female,5-14 years,2," 307,356 ",Albania2001,"4,06,07,58,804",1451,Millenials
Albania,2002,male,75+ years,4," 31,007 ",Albania2002,"4,43,50,78,648",1573,Silent
Albania,2002,male,25-34 years,23," 206,286 ",Albania2002,"4,43,50,78,648",1573,Generation X
Albania,2002,male,35-54 years,35," 382,139 ",Albania2002,"4,43,50,78,648",1573,Boomers
Albania,2002,male,55-74 years,13," 198,130 ",Albania2002,"4,43,50,78,648",1573,Silent
Albania,2002,male,15-24 years,15," 263,067 ",Albania2002,"4,43,50,78,648",1573,Millenials
Albania,2002,female,15-24 years,14," 275,970 ",Albania2002,"4,43,50,78,648",1573,Millenials
Albania,2002,female,35-54 years,15," 375,113 ",Albania2002,"4,43,50,78,648",1573,Boomers
Albania,2002,female,25-34 years,7," 223,685 ",Albania2002,"4,43,50,78,648",1573,Generation X
Albania,2002,female,75+ years,1," 47,407 ",Albania2002,"4,43,50,78,648",1573,Silent
Albania,2002,female,55-74 years,4," 191,712 ",Albania2002,"4,43,50,78,648",1573,Silent
Albania,2002,female,5-14 years,1," 304,850 ",Albania2002,"4,43,50,78,648",1573,Millenials
Albania,2002,male,5-14 years,1," 319,473 ",Albania2002,"4,43,50,78,648",1573,Millenials
Albania,2003,female,75+ years,6," 49,088 ",Albania2003,"5,74,69,45,913",2021,Silent
Albania,2003,male,55-74 years,16," 201,520 ",Albania2003,"5,74,69,45,913",2021,Silent
Albania,2003,male,35-54 years,28," 386,196 ",Albania2003,"5,74,69,45,913",2021,Boomers
Albania,2003,male,15-24 years,15," 273,235 ",Albania2003,"5,74,69,45,913",2021,Millenials
Albania,2003,female,15-24 years,14," 283,709 ",Albania2003,"5,74,69,45,913",2021,Millenials
Albania,2003,female,55-74 years,9," 195,699 ",Albania2003,"5,74,69,45,913",2021,Silent
Albania,2003,male,25-34 years,9," 205,433 ",Albania2003,"5,74,69,45,913",2021,Generation X
Albania,2003,female,25-34 years,9," 222,941 ",Albania2003,"5,74,69,45,913",2021,Generation X
Albania,2003,female,35-54 years,13," 381,760 ",Albania2003,"5,74,69,45,913",2021,Boomers
Albania,2003,male,75+ years,1," 32,667 ",Albania2003,"5,74,69,45,913",2021,Silent
Albania,2003,male,5-14 years,4," 313,204 ",Albania2003,"5,74,69,45,913",2021,Millenials
Albania,2003,female,5-14 years,0," 298,477 ",Albania2003,"5,74,69,45,913",2021,Millenials
Albania,2004,male,75+ years,4," 35,526 ",Albania2004,"7,31,48,65,176",2544,Silent
Albania,2004,male,35-54 years,39," 391,767 ",Albania2004,"7,31,48,65,176",2544,Boomers
Albania,2004,male,25-34 years,16," 203,938 ",Albania2004,"7,31,48,65,176",2544,Generation X
Albania,2004,female,15-24 years,20," 292,268 ",Albania2004,"7,31,48,65,176",2544,Millenials
Albania,2004,male,15-24 years,19," 286,768 ",Albania2004,"7,31,48,65,176",2544,Millenials
Albania,2004,female,75+ years,3," 50,970 ",Albania2004,"7,31,48,65,176",2544,Silent
Albania,2004,female,25-34 years,11," 222,389 ",Albania2004,"7,31,48,65,176",2544,Generation X
Albania,2004,male,55-74 years,10," 207,202 ",Albania2004,"7,31,48,65,176",2544,Silent
Albania,2004,female,35-54 years,17," 391,436 ",Albania2004,"7,31,48,65,176",2544,Boomers
Albania,2004,female,55-74 years,3," 203,841 ",Albania2004,"7,31,48,65,176",2544,Silent
Albania,2004,female,5-14 years,3," 286,705 ",Albania2004,"7,31,48,65,176",2544,Millenials
Albania,2004,male,5-14 years,1," 302,181 ",Albania2004,"7,31,48,65,176",2544,Millenials
Albania,2005,female,15-24 years,0," 281,922 ",Albania2005,"8,15,85,48,717",2931,Millenials
Albania,2005,female,25-34 years,0," 190,745 ",Albania2005,"8,15,85,48,717",2931,Generation X
Albania,2005,female,35-54 years,0," 386,513 ",Albania2005,"8,15,85,48,717",2931,Boomers
Albania,2005,female,5-14 years,0," 276,559 ",Albania2005,"8,15,85,48,717",2931,Millenials
Albania,2005,female,55-74 years,0," 210,998 ",Albania2005,"8,15,85,48,717",2931,Silent
Albania,2005,female,75+ years,0," 53,191 ",Albania2005,"8,15,85,48,717",2931,Silent
Albania,2005,male,15-24 years,0," 281,675 ",Albania2005,"8,15,85,48,717",2931,Millenials
Albania,2005,male,25-34 years,0," 177,519 ",Albania2005,"8,15,85,48,717",2931,Generation X
Albania,2005,male,35-54 years,0," 380,242 ",Albania2005,"8,15,85,48,717",2931,Boomers
Albania,2005,male,5-14 years,0," 291,367 ",Albania2005,"8,15,85,48,717",2931,Millenials
Albania,2005,male,55-74 years,0," 214,118 ",Albania2005,"8,15,85,48,717",2931,Silent
Albania,2005,male,75+ years,0," 38,471 ",Albania2005,"8,15,85,48,717",2931,Silent
Albania,2006,female,15-24 years,0," 283,138 ",Albania2006,"8,99,26,42,349",3235,Millenials
Albania,2006,female,25-34 years,0," 186,391 ",Albania2006,"8,99,26,42,349",3235,Generation X
Albania,2006,female,35-54 years,0," 388,746 ",Albania2006,"8,99,26,42,349",3235,Boomers
Albania,2006,female,5-14 years,0," 267,316 ",Albania2006,"8,99,26,42,349",3235,Millenials
Albania,2006,female,55-74 years,0," 215,907 ",Albania2006,"8,99,26,42,349",3235,Silent
Albania,2006,female,75+ years,0," 56,011 ",Albania2006,"8,99,26,42,349",3235,Silent
Albania,2006,male,15-24 years,0," 286,679 ",Albania2006,"8,99,26,42,349",3235,Millenials
Albania,2006,male,25-34 years,0," 174,092 ",Albania2006,"8,99,26,42,349",3235,Generation X
Albania,2006,male,35-54 years,0," 379,076 ",Albania2006,"8,99,26,42,349",3235,Boomers
Albania,2006,male,5-14 years,0," 282,678 ",Albania2006,"8,99,26,42,349",3235,Millenials
Albania,2006,male,55-74 years,0," 219,360 ",Albania2006,"8,99,26,42,349",3235,Silent
Albania,2006,male,75+ years,0," 40,782 ",Albania2006,"8,99,26,42,349",3235,Silent
Albania,2007,male,75+ years,8," 42,366 ",Albania2007,"10,70,10,11,897",3863,Silent
Albania,2007,male,35-54 years,29," 378,626 ",Albania2007,"10,70,10,11,897",3863,Boomers
Albania,2007,male,55-74 years,14," 224,160 ",Albania2007,"10,70,10,11,897",3863,Silent
Albania,2007,female,75+ years,3," 57,404 ",Albania2007,"10,70,10,11,897",3863,Silent
Albania,2007,male,25-34 years,9," 172,494 ",Albania2007,"10,70,10,11,897",3863,Generation X
Albania,2007,female,15-24 years,13," 281,080 ",Albania2007,"10,70,10,11,897",3863,Millenials
Albania,2007,male,15-24 years,13," 288,349 ",Albania2007,"10,70,10,11,897",3863,Millenials
Albania,2007,female,25-34 years,8," 183,629 ",Albania2007,"10,70,10,11,897",3863,Generation X
Albania,2007,female,55-74 years,9," 221,120 ",Albania2007,"10,70,10,11,897",3863,Silent
Albania,2007,female,35-54 years,14," 391,811 ",Albania2007,"10,70,10,11,897",3863,Boomers
Albania,2007,male,5-14 years,4," 272,497 ",Albania2007,"10,70,10,11,897",3863,Generation Z
Albania,2007,female,5-14 years,0," 256,808 ",Albania2007,"10,70,10,11,897",3863,Generation Z
Albania,2008,male,25-34 years,21," 172,855 ",Albania2008,"12,88,13,52,688",4672,Generation X
Albania,2008,male,35-54 years,37," 377,119 ",Albania2008,"12,88,13,52,688",4672,Boomers
Albania,2008,male,55-74 years,21," 228,672 ",Albania2008,"12,88,13,52,688",4672,Silent
Albania,2008,female,75+ years,5," 59,369 ",Albania2008,"12,88,13,52,688",4672,Silent
Albania,2008,female,15-24 years,20," 276,073 ",Albania2008,"12,88,13,52,688",4672,Millenials
Albania,2008,female,25-34 years,9," 182,663 ",Albania2008,"12,88,13,52,688",4672,Generation X
Albania,2008,female,35-54 years,19," 393,832 ",Albania2008,"12,88,13,52,688",4672,Boomers
Albania,2008,male,75+ years,2," 44,574 ",Albania2008,"12,88,13,52,688",4672,Silent
Albania,2008,male,15-24 years,11," 286,702 ",Albania2008,"12,88,13,52,688",4672,Millenials
Albania,2008,female,55-74 years,7," 226,448 ",Albania2008,"12,88,13,52,688",4672,Silent
Albania,2008,male,5-14 years,7," 262,464 ",Albania2008,"12,88,13,52,688",4672,Generation Z
Albania,2008,female,5-14 years,1," 246,288 ",Albania2008,"12,88,13,52,688",4672,Generation Z
Albania,2009,female,15-24 years,0," 270,003 ",Albania2009,"12,04,42,12,904",4387,Millenials
Albania,2009,female,25-34 years,0," 182,712 ",Albania2009,"12,04,42,12,904",4387,Generation X
Albania,2009,female,35-54 years,0," 394,286 ",Albania2009,"12,04,42,12,904",4387,Boomers
Albania,2009,female,5-14 years,0," 236,174 ",Albania2009,"12,04,42,12,904",4387,Generation Z
Albania,2009,female,55-74 years,0," 233,302 ",Albania2009,"12,04,42,12,904",4387,Silent
Albania,2009,female,75+ years,0," 61,582 ",Albania2009,"12,04,42,12,904",4387,Silent
Albania,2009,male,15-24 years,0," 283,448 ",Albania2009,"12,04,42,12,904",4387,Millenials
Albania,2009,male,25-34 years,0," 174,955 ",Albania2009,"12,04,42,12,904",4387,Generation X
Albania,2009,male,35-54 years,0," 374,365 ",Albania2009,"12,04,42,12,904",4387,Boomers
Albania,2009,male,5-14 years,0," 253,007 ",Albania2009,"12,04,42,12,904",4387,Generation Z
Albania,2009,male,55-74 years,0," 234,570 ",Albania2009,"12,04,42,12,904",4387,Silent
Albania,2009,male,75+ years,0," 47,331 ",Albania2009,"12,04,42,12,904",4387,Silent
Albania,2010,male,55-74 years,20," 241,852 ",Albania2010,"11,92,69,53,259",4359,Silent
Albania,2010,male,35-54 years,20," 371,611 ",Albania2010,"11,92,69,53,259",4359,Generation X
Albania,2010,male,25-34 years,9," 179,720 ",Albania2010,"11,92,69,53,259",4359,Generation X
Albania,2010,male,75+ years,2," 50,767 ",Albania2010,"11,92,69,53,259",4359,Silent
Albania,2010,male,15-24 years,10," 279,508 ",Albania2010,"11,92,69,53,259",4359,Millenials
Albania,2010,female,25-34 years,6," 183,579 ",Albania2010,"11,92,69,53,259",4359,Generation X
Albania,2010,female,75+ years,2," 64,415 ",Albania2010,"11,92,69,53,259",4359,Silent
Albania,2010,female,35-54 years,12," 394,593 ",Albania2010,"11,92,69,53,259",4359,Generation X
Albania,2010,female,55-74 years,7," 241,491 ",Albania2010,"11,92,69,53,259",4359,Silent
Albania,2010,female,15-24 years,6," 263,581 ",Albania2010,"11,92,69,53,259",4359,Millenials
Albania,2010,female,5-14 years,2," 223,969 ",Albania2010,"11,92,69,53,259",4359,Generation Z
Albania,2010,male,5-14 years,0," 240,939 ",Albania2010,"11,92,69,53,259",4359,Generation Z
Antigua and Barbuda,1985,female,15-24 years,0," 7,709 ",Antigua and Barbuda1985,"24,09,23,926",3850,Generation X
Antigua and Barbuda,1985,female,25-34 years,0," 6,344 ",Antigua and Barbuda1985,"24,09,23,926",3850,Boomers
Antigua and Barbuda,1985,female,35-54 years,0," 6,173 ",Antigua and Barbuda1985,"24,09,23,926",3850,Silent
Antigua and Barbuda,1985,female,5-14 years,0," 7,339 ",Antigua and Barbuda1985,"24,09,23,926",3850,Generation X
Antigua and Barbuda,1985,female,55-74 years,0," 3,778 ",Antigua and Barbuda1985,"24,09,23,926",3850,G.I. Generation
Antigua and Barbuda,1985,female,75+ years,0, 949 ,Antigua and Barbuda1985,"24,09,23,926",3850,G.I. Generation
Antigua and Barbuda,1985,male,15-24 years,0," 7,667 ",Antigua and Barbuda1985,"24,09,23,926",3850,Generation X
Antigua and Barbuda,1985,male,25-34 years,0," 6,194 ",Antigua and Barbuda1985,"24,09,23,926",3850,Boomers
Antigua and Barbuda,1985,male,35-54 years,0," 5,970 ",Antigua and Barbuda1985,"24,09,23,926",3850,Silent
Antigua and Barbuda,1985,male,5-14 years,0," 7,304 ",Antigua and Barbuda1985,"24,09,23,926",3850,Generation X
Antigua and Barbuda,1985,male,55-74 years,0," 2,723 ",Antigua and Barbuda1985,"24,09,23,926",3850,G.I. Generation
Antigua and Barbuda,1985,male,75+ years,0, 424 ,Antigua and Barbuda1985,"24,09,23,926",3850,G.I. Generation
Antigua and Barbuda,1986,female,15-24 years,0," 7,668 ",Antigua and Barbuda1986,"29,04,40,148",4740,Generation X
Antigua and Barbuda,1986,female,25-34 years,0," 6,209 ",Antigua and Barbuda1986,"29,04,40,148",4740,Boomers
Antigua and Barbuda,1986,female,35-54 years,0," 6,101 ",Antigua and Barbuda1986,"29,04,40,148",4740,Silent
Antigua and Barbuda,1986,female,5-14 years,0," 6,907 ",Antigua and Barbuda1986,"29,04,40,148",4740,Generation X
Antigua and Barbuda,1986,female,55-74 years,0," 3,764 ",Antigua and Barbuda1986,"29,04,40,148",4740,G.I. Generation
Antigua and Barbuda,1986,female,75+ years,0," 1,014 ",Antigua and Barbuda1986,"29,04,40,148",4740,G.I. Generation
